"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
4.5511e-05,-1.3627e-06,0,0.23,1.79,0
5.3734e-05,-1.6455e-06,0,0.24,1.79,0
6.3396e-05,-1.9865e-06,0,0.25,1.79,0
2.9374e-07,-1.8199e-08,0,0.01,1.8,0
0,0,0,0,1.8,0
6.0063e-07,-3.3351e-08,0,0.02,1.8,0
9.288e-07,-4.6956e-08,0,0.03,1.8,0
1.2874e-06,-6.0214e-08,0,0.04,1.8,0
1.6866e-06,-7.4157e-08,0,0.05,1.8,0
2.1381e-06,-8.9702e-08,0,0.06,1.8,0
2.6552e-06,-1.0768e-07,0,0.07,1.8,0
3.2532e-06,-1.2889e-07,0,0.08,1.8,0
3.9499e-06,-1.5421e-07,0,0.09,1.8,0
4.7659e-06,-1.8458e-07,0,0.1,1.8,0
5.7249e-06,-2.2115e-07,0,0.11,1.8,0
6.8545e-06,-2.6527e-07,0,0.12,1.8,0
8.1871e-06,-3.1855e-07,0,0.13,1.8,0
9.7602e-06,-3.8283e-07,0,0.14,1.8,0
1.1618e-05,-4.6033e-07,0,0.15,1.8,0
1.3812e-05,-5.5362e-07,0,0.16,1.8,0
1.6403e-05,-6.6582e-07,0,0.17,1.8,0
1.9461e-05,-8.0075e-07,0,0.18,1.8,0
2.307e-05,-9.6284e-07,0,0.19,1.8,0
2.7325e-05,-1.1572e-06,0,0.2,1.8,0
3.2339e-05,-1.39e-06,0,0.21,1.8,0
3.8242e-05,-1.6692e-06,0,0.22,1.8,0
4.5187e-05,-2.0045e-06,0,0.23,1.8,0
5.335e-05,-2.4071e-06,0,0.24,1.8,0
6.2935e-05,-2.8888e-06,0,0.25,1.8,0
7.472e-05,-2.399e-06,0,0.26,1.79,0
7.4182e-05,-3.4671e-06,0,0.26,1.8,0
8.7371e-05,-4.1624e-06,0,0.27,1.8,0
2.918e-07,-2.4898e-08,0,0.01,1.81,0
0,0,0,0,1.81,0
5.9648e-07,-4.5436e-08,0,0.02,1.81,0
9.2216e-07,-6.3751e-08,0,0.03,1.81,0
1.2779e-06,-8.1525e-08,0,0.04,1.81,0
1.6739e-06,-1.0017e-07,0,0.05,1.81,0
2.1217e-06,-1.2092e-07,0,0.06,1.81,0
2.6344e-06,-1.4488e-07,0,0.07,1.81,0
3.2273e-06,-1.7314e-07,0,0.08,1.81,0
3.9179e-06,-2.0685e-07,0,0.09,1.81,0
4.7266e-06,-2.4725e-07,0,0.1,1.81,0
5.6769e-06,-2.9581e-07,0,0.11,1.81,0
6.7962e-06,-3.5429e-07,0,0.12,1.81,0
8.1164e-06,-4.2472e-07,0,0.13,1.81,0
9.6748e-06,-5.0948e-07,0,0.14,1.81,0
1.1515e-05,-6.1142e-07,0,0.15,1.81,0
1.3688e-05,-7.3384e-07,0,0.16,1.81,0
1.6254e-05,-8.8073e-07,0,0.17,1.81,0
1.9282e-05,-1.0569e-06,0,0.18,1.81,0
2.2855e-05,-1.2678e-06,0,0.19,1.81,0
2.7068e-05,-1.5201e-06,0,0.2,1.81,0
3.2032e-05,-1.8217e-06,0,0.21,1.81,0
3.7877e-05,-2.1823e-06,0,0.22,1.81,0
4.4753e-05,-2.6136e-06,0,0.23,1.81,0
5.2834e-05,-3.1292e-06,0,0.24,1.81,0
6.2324e-05,-3.7452e-06,0,0.25,1.81,0
